iteration,lat,lng,temp,best_temp,seed
2,45.0,180.0,9.1,13.6,4
3,-45.0,-100.0,14.3,14.3,4
4,90.0,-180.0,-26.5,14.3,4
5,0.0,-100.0,26.1,26.1,4
6,-45.0,60.0,10.9,26.1,4
7,0.0,-140.0,25.2,26.1,4
8,-90.0,20.0,-48.8,26.1,4
9,-45.0,140.0,11.3,26.1,4
10,45.0,-60.0,0.8,26.1,4
11,0.0,-20.0,26.8,26.8,4
12,45.0,20.0,10.6,26.8,4
13,45.0,60.0,-0.5,26.8,4
14,-90.0,-60.0,-48.8,26.8,4
15,-45.0,-60.0,13.9,26.8,4
16,0.0,20.0,31.5,31.5,4
17,0.0,100.0,27.7,31.5,4
18,-90.0,-20.0,-48.8,31.5,4
19,90.0,-20.0,-26.4,31.5,4
20,0.0,180.0,27.8,31.5,4
21,45.0,-100.0,0.7,31.5,4
22,-90.0,-100.0,-48.8,31.5,4
23,90.0,-60.0,-26.4,31.5,4
24,90.0,20.0,-26.4,31.5,4
25,0.0,140.0,27.9,31.5,4
26,-90.0,180.0,-48.8,31.5,4
27,-45.0,20.0,12.2,31.5,4
28,0.0,60.0,28.4,31.5,4
29,0.0,-60.0,30.6,31.5,4
30,90.0,140.0,-26.4,31.5,4
31,90.0,60.0,-26.4,31.5,4
32,90.0,-100.0,-26.4,31.5,4
33,0.0,-180.0,27.8,31.5,4
34,45.0,140.0,-1.2,31.5,4
35,-90.0,100.0,-48.8,31.5,4
36,-45.0,-20.0,12.1,31.5,4
37,-90.0,-180.0,-40.2,31.5,4
38,45.0,-180.0,9.2,31.5,4
39,45.0,100.0,-11.9,31.5,4
40,-45.0,100.0,10.0,31.5,4
41,90.0,180.0,-26.4,31.5,4
42,-90.0,60.0,-48.8,31.5,4
43,90.0,100.0,-26.4,31.5,4
44,90.0,-140.0,-26.4,31.5,4
45,45.0,-140.0,8.3,31.5,4
46,45.0,-20.0,12.6,31.5,4
47,-90.0,140.0,-48.8,31.5,4
48,-45.0,-180.0,13.6,31.5,4
49,-90.0,-140.0,-48.8,31.5,4
50,-45.0,180.0,13.6,31.5,4
