iteration,lat,lng,temp,best_temp,seed
35,90.0,-29.162,-26.4,37.7,4
36,-4.5251,9.0503,28.1,37.7,4
37,-4.5251,81.4525,28.2,37.7,4
38,-35.6983,-141.7877,21.5,37.7,4
39,44.7486,129.7207,-9.9,37.7,4
40,8.5475,-33.1844,25.1,37.7,4
41,-6.5363,143.7989,18.6,37.7,4
42,37.7095,-165.9218,11.8,37.7,4
43,-3.5196,-121.676,26.3,37.7,4
44,1.5084,43.2402,34.9,37.7,4
45,-37.7095,31.1732,22.3,37.7,4
46,31.676,1.0056,21.5,37.7,4
47,-11.5642,105.5866,27.5,37.7,4
48,-36.7039,-61.3408,26.0,37.7,4
49,-14.581,-15.0838,25.0,37.7,4
50,-3.5196,-167.933,27.2,37.7,4
